Designator,Qty.,Manufacturer Part Number,Description,Manufacturer
"C1, C5, C6, C7, C8, C9, C10, C11, C12, C14, C16, C19, C20, C22, C24",15 ,CGA3E2X7R1H104K080AA,1608 0.1uF 50V X7R 10%,TDK
"C2, C4",2 ,CGA3E2C0G1H180J080AA,1608 18pF 50V C0G 5%,TDK
C3,1 ,CGA4J1X5R1C106K125AC,2012 10uF 16V X5R 10%,TDK
"C13, C15, C17, C21, C23",5 ,CGA3E1X7R1E105K080AC,1608 1uF 25V X7R 10%,TDK
C18,1 ,CGA3E2C0G1H471J080AA,1608 470pF 50V C0G 5%,TDK
"C25, C26, C27, C28, C30, C31, C32, C33",8 ,CGA3E2C0G1H100D080AA,1608 10pF 50V C0G 5%,TDK
"C29, C34",2 ,CGA3E2X7R1H223K080AA,1608 0.022uF 50V X7R 10%,TDK
"CN2, CN3",2 ,7499010211A,WE-RJ45LAN,Würth Elektronik
D1,1 ,APT2012QGW,2012 Chip LED Green,Kingbright
D2,1 ,APT2012NW,2012 Chip LED Orange,Kingbright
"L1, L2, L3, L4",4 ,BLM18EG221SN1D,Chip Ferrite Bead,Murata
"L5, L6",2 ,BLM18PG330SN1D,Chip Ferrite Bead,Murata
"R1, R13, R20",3 ,RK73Z1JTTD,1608 0-Ohm 1A,KOA
"R2, R21, R22, R23",4 ,RK73B1JTTD103J,1608 10kOhm 5% 1/10W,KOA
"R3, R4, R8, R14, R15, R24",6 ,RK73B1JTTD102J,1608 1kOhm 5% 1/8W,KOA
"R5, R6",2 ,RK73B1JTTD472J,1608 4.7kOhm 5% 1/10W,KOA
R7,1 ,RK73H1JTTD1212F,1608 12.1kOhm 1% 1/10W,KOA
"R9, R10, R11, R12, R16, R17, R18, R19",8 ,RK73H1JTTD49R9F,1608 49.9Ohm 1% 1/8W,KOA
SW1,1 ,SKRPABE010,SPST Switch N/O 1.57N,ALPS
U1,1 ,LAN9252I/PT,EtherCAT Slave Controller,Microchip
U2,1 ,24FC512-I/SN,512kBit I2C Serial EEPROM,Microchip
X1,1 ,CSM1Z-A5B2C5-40-25.0D18-F,HC-49S 25MHz Crystal,Cardinal Components